,,Phil Weiser,John Kellner,William F. Robinson III,Stanley Thorne,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Libertarian,Unaffiliated,,
Precinct,2154935111,735,548,32,0,1315,1315
Precinct,2154935507,529,924,22,0,1475,1475
Precinct,2154935514,524,745,27,0,1296,1296
Precinct,2155135400,201,250,19,0,470,470
Precinct,2155135407,471,669,28,1,1169,1169
Precinct,2155135435,305,535,20,2,862,862
Precinct,2155135437,32,23,0,0,55,55
Precinct,2155235355,438,271,15,0,724,724
Precinct,2155335368,632,372,28,0,1032,1032
Precinct,2155335369,20,5,0,0,25,25
Precinct,2156435591,0,0,0,0,0,0
Precinct,2156535209,450,600,18,0,1068,1068
Precinct,2156535210,716,470,41,0,1227,1227
Precinct,2234935509,90,125,3,0,218,218
Precinct,2235235300,350,334,8,0,692,692
Precinct,2235235306,456,303,22,0,781,781
Precinct,2235235307,654,502,30,0,1186,1186
Precinct,2235235308,817,352,32,0,1201,1201
Precinct,2235235309,780,602,23,0,1405,1405
Precinct,2235235310,748,553,17,0,1318,1318
Precinct,2235235311,868,514,30,0,1412,1412
Precinct,2235235312,836,486,17,0,1339,1339
Precinct,2235235313,729,502,26,0,1257,1257
Precinct,2235235490,0,0,0,0,0,0
Precinct,2235335301,2,8,0,0,10,10
Precinct,2236435508,101,185,4,0,290,290
Precinct,2236435592,0,0,0,0,0,0
Precinct,2236435593,0,0,0,0,0,0
Precinct,2236535600,790,811,30,0,1631,1631
Precinct,2236535601,691,904,29,0,1624,1624
Precinct,2236535602,740,811,30,0,1581,1581
Precinct,2236535603,235,325,4,0,564,564
Precinct,4146535207,49,63,4,0,116,116
Precinct,4154935200,72,199,5,0,276,276
Precinct,4155135401,743,847,24,0,1614,1614
Precinct,4155135402,679,509,27,3,1218,1218
Precinct,4155135403,632,594,32,2,1260,1260
Precinct,4155135404,593,521,37,2,1153,1153
Precinct,4155135405,602,782,21,0,1405,1405
Precinct,4155135406,245,327,11,0,583,583
Precinct,4155135408,365,388,12,0,765,765
Precinct,4155135409,410,422,22,0,854,854
Precinct,4155135410,537,492,40,0,1069,1069
Precinct,4155135411,572,663,29,0,1264,1264
Precinct,4155135412,543,568,38,0,1149,1149
Precinct,4155135413,554,471,35,0,1060,1060
Precinct,4155135414,561,464,28,2,1055,1055
Precinct,4155135415,615,354,33,0,1002,1002
Precinct,4155135416,439,479,29,0,947,947
Precinct,4155135417,573,734,21,1,1329,1329
Precinct,4155135418,498,499,36,0,1033,1033
Precinct,4155135419,457,519,39,0,1015,1015
Precinct,4155135420,502,546,29,0,1077,1077
Precinct,4155135421,670,478,25,0,1173,1173
Precinct,4155135422,553,563,25,0,1141,1141
Precinct,4155135423,569,541,31,0,1141,1141
Precinct,4155135424,610,668,27,0,1305,1305
Precinct,4155135425,592,572,33,0,1197,1197
Precinct,4155135426,834,806,39,0,1679,1679
Precinct,4155135427,519,439,30,0,988,988
Precinct,4155135428,630,647,17,3,1297,1297
Precinct,4155135429,643,666,24,1,1334,1334
Precinct,4155135430,585,582,34,0,1201,1201
Precinct,4155135431,557,663,40,1,1261,1261
Precinct,4155135432,561,654,30,0,1245,1245
Precinct,4155135433,623,730,27,0,1380,1380
Precinct,4155135434,609,665,35,1,1310,1310
Precinct,4155135436,764,815,17,0,1596,1596
Precinct,4155135504,483,688,26,0,1197,1197
Precinct,4156535201,277,502,22,0,801,801
Precinct,4156535202,471,598,32,0,1101,1101
Precinct,4156535203,609,635,54,0,1298,1298
Precinct,4156535204,451,600,32,1,1084,1084
Precinct,4156535208,441,706,37,0,1184,1184
Precinct,4156535500,4,32,0,0,36,36
Precinct,4156535503,9,19,0,0,28,28
Precinct,4236535205,533,694,18,0,1245,1245
Precinct,4236535604,0,0,0,0,0,0
Precinct,4236535605,513,908,17,0,1438,1438
Precinct,4236535606,672,912,17,2,1603,1603
Precinct,4236535607,473,785,11,2,1271,1271
Precinct,4236535608,314,694,21,0,1029,1029
Precinct,4236535691,0,0,0,0,0,0
Precinct,8236435505,526,630,33,0,1189,1189
Precinct,8236435506,524,686,36,1,1247,1247
Precinct,8236435510,607,687,27,0,1321,1321
Precinct,8236435511,652,650,18,0,1320,1320
Precinct,8236435512,654,810,64,2,1530,1530
Precinct,8236435513,399,525,28,1,953,953
Precinct,8236535501,417,646,19,1,1083,1083
Precinct,8236535502,406,609,30,1,1046,1046
County,Las Animas,3073,3326,136,0,6535,6535
Precinct,3354736001,216,579,10,0,805,805
Precinct,3354736002,586,644,31,0,1261,1261
Precinct,3354736003,411,704,28,0,1143,1143
Precinct,3354736004,474,513,13,0,1000,1000
Precinct,3354736005,325,194,10,0,529,529
Precinct,3354736006,608,405,31,0,1044,1044
Precinct,3354736007,453,287,13,0,753,753
County,Lincoln,353,1675,54,3,2085,2085
Precinct,4355637001,34,142,2,0,178,178
Precinct,4355637002,39,214,5,0,258,258
Precinct,4355637003,28,189,5,0,222,222
Precinct,4355637004,18,109,2,0,129,129
Precinct,4355637005,31,156,8,0,195,195
Precinct,4355637006,31,163,9,0,203,203
Precinct,4355637007,59,210,7,0,276,276
Precinct,4355637008,8,40,0,0,48,48
Precinct,4355637009,19,83,3,0,105,105
Precinct,4355637010,19,123,2,3,147,147
Precinct,4355637011,11,28,0,0,39,39
Precinct,4355637012,6,25,2,0,33,33
Precinct,4355637013,50,193,9,0,252,252
County,Logan,1791,6041,196,13,8041,8041
Precinct,4016338001,184,431,20,1,636,636
Precinct,4016338002,159,353,15,2,529,529
Precinct,4016338003,94,224,10,0,328,328
Precinct,4016338004,160,300,23,1,484,484
